username,waktu,teks_komentar,jumlah_likes,sumber_video,case_folding,komentar_final,bigrams
@demonjunaedi,2 years ago,Mirip banget Camry,0,https://youtube.com/watch?v=FDU3zV2_n04,mirip banget camry,"['mirip', 'banget', 'camry']","[('mirip', 'banget'), ('banget', 'camry')]"
@agungkristiyono1486,2 years ago,"Avanza,vios kesan taxi",0,https://youtube.com/watch?v=FDU3zV2_n04,"avanza,vios kesan taxi","['avanza', 'vios', 'kesan', 'taxi']","[('avanza', 'vios'), ('vios', 'kesan'), ('kesan', 'taxi')]"
@ceramahstory4289,2 years ago,"Namanya vios. Pasti org pikir 2 x buat beli masih terkesan taxi pdhal taxi selain vios bnyak cuma vios sudh mnjadi icon taxi. Mnding discontinue ganti nama bodi sama pasti laku, sok ngatur kali gw 🤣.",0,https://youtube.com/watch?v=FDU3zV2_n04,"namanya vios. pasti org pikir 2 x buat beli masih terkesan taxi pdhal taxi selain vios bnyak cuma vios sudh mnjadi icon taxi. mnding discontinue ganti nama bodi sama pasti laku, sok ngatur kali gw 🤣.","['nama', 'vios', 'org', 'pikir', 'buat', 'beli', 'kes', 'taxi', 'pdhal', 'taxi', 'vios', 'bnyak', 'cuma', 'vios', 'sudh', 'mnjadi', 'icon', 'taxi', 'mnding', 'discontinue', 'ganti', 'nama', 'bodi', 'sama', 'laku', 'sok', 'ngatur', 'kali']","[('nama', 'vios'), ('vios', 'org'), ('org', 'pikir'), ('pikir', 'buat'), ('buat', 'beli'), ('beli', 'kes'), ('kes', 'taxi'), ('taxi', 'pdhal'), ('pdhal', 'taxi'), ('taxi', 'vios'), ('vios', 'bnyak'), ('bnyak', 'cuma'), ('cuma', 'vios'), ('vios', 'sudh'), ('sudh', 'mnjadi'), ('mnjadi', 'icon'), ('icon', 'taxi'), ('taxi', 'mnding'), ('mnding', 'discontinue'), ('discontinue', 'ganti'), ('ganti', 'nama'), ('nama', 'bodi'), ('bodi', 'sama'), ('sama', 'laku'), ('laku', 'sok'), ('sok', 'ngatur'), ('ngatur', 'kali')]"
@dedidp1554,2 years ago,Kalau semisal beli ini tapi malu sama nama vios karena image taksi nya tinggal lepas aja sih nama vios nya pasti orang nyangka nya ini sedan mewah toyota karena overall tampilan luar dalam nya juga mendukung,0,https://youtube.com/watch?v=FDU3zV2_n04,kalau semisal beli ini tapi malu sama nama vios karena image taksi nya tinggal lepas aja sih nama vios nya pasti orang nyangka nya ini sedan mewah toyota karena overall tampilan luar dalam nya juga mendukung,"['kalau', 'misal', 'beli', 'malu', 'sama', 'nama', 'vios', 'image', 'taksi', 'tinggal', 'lepas', 'nama', 'vios', 'orang', 'nyangka', 'sedan', 'mewah', 'toyota', 'overall', 'tampil', 'luar', 'dukung']","[('kalau', 'misal'), ('misal', 'beli'), ('beli', 'malu'), ('malu', 'sama'), ('sama', 'nama'), ('nama', 'vios'), ('vios', 'image'), ('image', 'taksi'), ('taksi', 'tinggal'), ('tinggal', 'lepas'), ('lepas', 'nama'), ('nama', 'vios'), ('vios', 'orang'), ('orang', 'nyangka'), ('nyangka', 'sedan'), ('sedan', 'mewah'), ('mewah', 'toyota'), ('toyota', 'overall'), ('overall', 'tampil'), ('tampil', 'luar'), ('luar', 'dukung')]"
@alfin742,2 years ago,city banget,0,https://youtube.com/watch?v=FDU3zV2_n04,city banget,"['city', 'banget']","[('city', 'banget')]"
@hobbykloyongan,2 years ago,"Sy pake eks taksi BB gen 3 2013 , Alhmdlh 2 tahun pemakaian hanya jajan  ganti oli & ban,  tune up. Bensin irit, mesin bandel.",2,https://youtube.com/watch?v=FDU3zV2_n04,"sy pake eks taksi bb gen 3 2013 , alhmdlh 2 tahun pemakaian hanya jajan  ganti oli & ban,  tune up. bensin irit, mesin bandel.","['pake', 'eks', 'taksi', 'gen', 'alhmdlh', 'tahun', 'pakai', 'jajan', 'ganti', 'oli', 'ban', 'tune', 'bensin', 'irit', 'mesin', 'bandel']","[('pake', 'eks'), ('eks', 'taksi'), ('taksi', 'gen'), ('gen', 'alhmdlh'), ('alhmdlh', 'tahun'), ('tahun', 'pakai'), ('pakai', 'jajan'), ('jajan', 'ganti'), ('ganti', 'oli'), ('oli', 'ban'), ('ban', 'tune'), ('tune', 'bensin'), ('bensin', 'irit'), ('irit', 'mesin'), ('mesin', 'bandel')]"
@croissantmania,2 years ago (edited),"1:26 Vios pertama itu tahun 2003 deh. Tahun 2002 masih Soluna.
2:20 Generasi 3 ganti mesin di tahun 2016, pakai 2NR-FE, barengan Yaris dan Sienta.",25,https://youtube.com/watch?v=FDU3zV2_n04,"1:26 vios pertama itu tahun 2003 deh. tahun 2002 masih soluna.
2:20 generasi 3 ganti mesin di tahun 2016, pakai 2nr-fe, barengan yaris dan sienta.","['vios', 'pertama', 'tahun', 'tahun', 'soluna', 'generasi', 'ganti', 'mesin', 'tahun', 'pakai', 'bareng', 'yaris', 'sienta']","[('vios', 'pertama'), ('pertama', 'tahun'), ('tahun', 'tahun'), ('tahun', 'soluna'), ('soluna', 'generasi'), ('generasi', 'ganti'), ('ganti', 'mesin'), ('mesin', 'tahun'), ('tahun', 'pakai'), ('pakai', 'bareng'), ('bareng', 'yaris'), ('yaris', 'sienta')]"
@erichibunmaeh5497,2 years ago,"15:19 juga, kenapa toyota senang menyunat front deffoger ya? yaris vios yg lama bgitu, sama kaya sienta, arah sembur sih lengkap, panel AC  yg skrg sudah digital. ini mobil udh mau  nanngung aja ada dummy tombol di AC ??? ini mobil udah 300jt an padahal.",1,https://youtube.com/watch?v=FDU3zV2_n04,"15:19 juga, kenapa toyota senang menyunat front deffoger ya? yaris vios yg lama bgitu, sama kaya sienta, arah sembur sih lengkap, panel ac  yg skrg sudah digital. ini mobil udh mau  nanngung aja ada dummy tombol di ac ??? ini mobil udah 300jt an padahal.","['toyota', 'senang', 'sunat', 'front', 'deffoger', 'yaris', 'vios', 'lama', 'bgitu', 'sama', 'kaya', 'sienta', 'arah', 'sembur', 'lengkap', 'panel', 'sekarang', 'digital', 'mobil', 'udh', 'mau', 'nanngung', 'dummy', 'tombol', 'mobil', 'udah', 'padahal']","[('toyota', 'senang'), ('senang', 'sunat'), ('sunat', 'front'), ('front', 'deffoger'), ('deffoger', 'yaris'), ('yaris', 'vios'), ('vios', 'lama'), ('lama', 'bgitu'), ('bgitu', 'sama'), ('sama', 'kaya'), ('kaya', 'sienta'), ('sienta', 'arah'), ('arah', 'sembur'), ('sembur', 'lengkap'), ('lengkap', 'panel'), ('panel', 'sekarang'), ('sekarang', 'digital'), ('digital', 'mobil'), ('mobil', 'udh'), ('udh', 'mau'), ('mau', 'nanngung'), ('nanngung', 'dummy'), ('dummy', 'tombol'), ('tombol', 'mobil'), ('mobil', 'udah'), ('udah', 'padahal')]"
@erichibunmaeh5497,2 years ago,"yaris dan vios knp nama beda ya? pdhl dalam luar hampir sama..  andai sj mrka satu nama dan berbagai jenis mobil misalny viris gitu🤣 (vios - yaris)  dengan bentuk mobil  hatchback, sedan, wagon ? pasti keren. cuman nasi dh jadi bubur, inilah yg terjadi skrg👍👍",0,https://youtube.com/watch?v=FDU3zV2_n04,"yaris dan vios knp nama beda ya? pdhl dalam luar hampir sama..  andai sj mrka satu nama dan berbagai jenis mobil misalny viris gitu🤣 (vios - yaris)  dengan bentuk mobil  hatchback, sedan, wagon ? pasti keren. cuman nasi dh jadi bubur, inilah yg terjadi skrg👍👍","['yaris', 'vios', 'knp', 'nama', 'beda', 'pdhl', 'luar', 'hampir', 'sama', 'andai', 'mrka', 'satu', 'nama', 'bagai', 'jenis', 'mobil', 'misalny', 'viris', 'gitu', 'vios', 'yaris', 'bentuk', 'mobil', 'hatchback', 'sedan', 'wagon', 'keren', 'cuman', 'nasi', 'jadi', 'bubur', 'jadi', 'skrg']","[('yaris', 'vios'), ('vios', 'knp'), ('knp', 'nama'), ('nama', 'beda'), ('beda', 'pdhl'), ('pdhl', 'luar'), ('luar', 'hampir'), ('hampir', 'sama'), ('sama', 'andai'), ('andai', 'mrka'), ('mrka', 'satu'), ('satu', 'nama'), ('nama', 'bagai'), ('bagai', 'jenis'), ('jenis', 'mobil'), ('mobil', 'misalny'), ('misalny', 'viris'), ('viris', 'gitu'), ('gitu', 'vios'), ('vios', 'yaris'), ('yaris', 'bentuk'), ('bentuk', 'mobil'), ('mobil', 'hatchback'), ('hatchback', 'sedan'), ('sedan', 'wagon'), ('wagon', 'keren'), ('keren', 'cuman'), ('cuman', 'nasi'), ('nasi', 'jadi'), ('jadi', 'bubur'), ('bubur', 'jadi'), ('jadi', 'skrg')]"
@farrelalfathan4753,2 years ago,klo kenceng ya bakpao sih,0,https://youtube.com/watch?v=FDU3zV2_n04,klo kenceng ya bakpao sih,"['kalau', 'kenceng', 'bakpao']","[('kalau', 'kenceng'), ('kenceng', 'bakpao')]"
